entreprise,date,type,nom_colonne
Viamedis,1 février 2024,Fuite massive de données d’assurés,2024-02-01
Almerys,1 février 2024,Fuite massive de données d’assurés,2024-02-01
Etesia,2 février 2024,Ransonware,2024-02-02
Sidaction,28 février 2024,Vol de données des donateurs,2024-02-28
Hoya et Seiko,29 mars 2024,Intrusion dans un serveur et interruption partiel de la production,2024-03-29
Paris Saint-Germain Football Club (PSG),3 avril 2024,Tentative d’intrusion sur la billetterie en ligne du club avec potentiel vol de données personnelles,2024-04-03
Le Slip Français,15 avril 2024,Vol de données de 696 000 clients,2024-04-15
Speedy France,19 avril 2024,Vol de données personnelles,2024-04-19
Dropbox Sign,24 avril 2024,Fuite de données personnelles et d’authentification,2024-04-24
Dell,28 avril 2024,Fuite de données clients et revente sur le dark web,2024-04-28
Axido,14 juin 2024,Ransomware,2024-06-14
SCAM (Société civile des auteurs multimédia),21 juin 2024,Ransomware,2024-06-21
Synertrade,27 juin 2024,Vol de données par le groupe de Ransomware Cactus,2024-06-27
Forum Sirius,28 juin 2024,Vol de données affectant 400 salles de spectacles en France,2024-06-28
Pharmacie Orléans,30 juin 2024,Fuite de données de 50 000 patients et divulgation sur le dark web,2024-06-30
Lagoon,17 août 2024,Rançongiciel et interruption d'internet pour des milliers de Néo-calédoniens,2024-08-17
Octave.biz,19 août 2024,Ransomware,2024-08-19
Antenne Réunion et autres radios de l'Océan Indien,21 août 2024,Interruption de la diffusion des programmes,2024-08-21
Conseil départemental de la Sarthe,24 janvier 2024,Tentative d’intrusion ratée,2024-01-24
Lycées d’Ile-de-France,20 mars 2024,"Piratage de l’ENT et envoi de menaces d’attentat, revendiqué par l’État Islamique",2024-03-20
"Villes de Saint-Nazaire, Pornichet, Montoir-de-Bretagne, Donges et La Chapelle-des-Marais",9 avril 2024,Ransomware,2024-04-09
Mairie d’Albi,22 avril 2024,Malware,2024-04-22
Ville de Gravelines,25 avril 2024,Cryptovirus,2024-04-25
Gouvernement de la Nouvelle-Calédonie,22 mai 2024,Attaque par déni de service,2024-05-22
Mairie de Fleury-les-Aubrais,24 juin 2024,Ransomware,2024-06-24
Département de la Loire-Atlantique,16 juillet 2024,Tentative d'intrusion des réseaux,2024-07-16
Région Pays de la Loire,19 juillet 2024,Ransomware par le groupe de hackers Lockbit,2024-07-19
CHU de Nantes,14 janvier 2024,Attaque par déni de service,2024-01-14
Ehpad Saint-Jean-Baptiste de Farébersviller,2 février 2024,Rançongiciel,2024-02-02
Centre hospitalier d’Armentières,11 février 2024,Demande de rançon,2024-02-11
Hôpital Simone-Veil à Cannes,16 avril 2024,Ransomware revendiqué le groupe de hackers Lockbit et publication de 61 gigaoctets de données confidentielles,2024-04-16
Groupe d’imagerie médicale Coradix-Magnescan,3 mai 2024,Tentative d’intrusion mais aucun vol de données,2024-05-03
800 services de l’État français en ligne,10 mars 2024,Attaque par déni de service,2024-03-10
Caisse d’Allocations Familiales (CAF),12 février 2024,"Vol des données de 600 000 allocataires à l’aide d’identifiants obtenus illégalement, attaque revendiqué par le groupe de hackers LulzSec",2024-02-12
France Travail (ex-Pôle emploi),13 mars 2024,Fuite des données de 43 millions de demandeurs d’emploi français,2024-03-13
Fédération Française de Football (FFF),21 mars 2024,Fuite de données de grande ampleur,2024-03-21
CCI Pau Béarn,13 mai 2024,Ransomware,2024-05-13
Boutiques de 40 musées français dont le Grand Palais et le Louvres,3 août 2024,Ransomware,2024-08-03
Université Paris-Saclay,11 août 2024,Ransomware,2024-08-11
Caisse d’Allocations Familiales (CAF),22 août 2024,Mise en vente des données de 60 000 allocataires sur le DarkWeb,2024-08-22
